Datetime,Average_Receive_bps,Average_Transmit_bps
2023-06-25 03:00:00,338440352.0,59991488.0
2023-06-25 03:05:00,338440352.0,59991488.0
2023-06-25 03:10:00,338535808.0,58820156.0
2023-06-25 03:15:00,338535808.0,58820156.0
2023-06-25 03:20:00,339084192.0,74427736.0
2023-06-25 03:25:00,339084192.0,74427736.0
2023-06-25 03:30:00,278583104.0,76826432.0
2023-06-25 03:35:00,278583104.0,76826432.0
2023-06-25 03:40:00,13246174.0,3005938.0
2023-06-25 03:45:00,13246174.0,3005938.0
2023-06-25 03:50:00,17718292.0,1968869.375
2023-06-25 03:55:00,17718292.0,1968869.375
2023-06-25 04:00:00,41861400.0,2553079.75
2023-06-25 04:05:00,41861400.0,2553079.75
2023-06-25 04:10:00,34744752.0,1745123.75
2023-06-25 04:15:00,34744752.0,1745123.75
2023-06-25 04:20:00,4996035.0,278290.3125
2023-06-25 04:25:00,4996035.0,278290.3125
2023-06-25 04:30:00,4964539.5,309741.5
2023-06-25 04:35:00,4964539.5,309741.5
2023-06-25 04:40:00,788161.875,109595.2969
2023-06-25 04:45:00,788161.875,109595.2969
2023-06-25 04:50:00,914628.6875,224037.7969
2023-06-25 04:55:00,914628.6875,224037.7969
2023-06-25 05:00:00,133141.9219,89480.9375
2023-06-25 05:05:00,133141.9219,89480.9375
2023-06-25 05:10:00,210988.8906,197125.5469
2023-06-25 05:15:00,210988.8906,197125.5469
2023-06-25 05:20:00,706775.75,378540.25
2023-06-25 05:25:00,706775.75,378540.25
2023-06-25 05:30:00,855458.875,92401.67188
2023-06-25 05:35:00,855458.875,92401.67188
2023-06-25 05:40:00,486308.7188,60442.29688
2023-06-25 05:45:00,486308.7188,60442.29688
2023-06-25 05:50:00,78854.63281,33701.82031
2023-06-25 05:55:00,78854.63281,33701.82031
2023-06-25 06:00:00,182169.8906,37249.0
2023-06-25 06:05:00,182169.8906,37249.0
2023-06-25 06:10:00,788767.3125,55409.54688
2023-06-25 06:15:00,788767.3125,55409.54688
2023-06-25 06:20:00,41340.48047,25562.78125
2023-06-25 06:25:00,41340.48047,25562.78125
2023-06-25 06:30:00,1299819.5,100658.9375
2023-06-25 06:35:00,1299819.5,100658.9375
2023-06-25 06:40:00,32141.55859,34076.39844
2023-06-25 06:45:00,32141.55859,34076.39844
2023-06-25 06:50:00,201696.4375,89078.19531
2023-06-25 06:55:00,201696.4375,89078.19531
2023-06-25 07:00:00,35702.59766,26830.31055
2023-06-25 07:05:00,35702.59766,26830.31055
2023-06-25 07:10:00,91475.30469,34470.10547
2023-06-25 07:15:00,91475.30469,34470.10547
2023-06-25 07:20:00,50483.03906,24225.41211
2023-06-25 07:25:00,50483.03906,24225.41211
2023-06-25 07:30:00,11975572.0,1443268.75
2023-06-25 07:35:00,11975572.0,1443268.75
2023-06-25 07:40:00,13150951.0,1303865.25
2023-06-25 07:45:00,13150951.0,1303865.25
2023-06-25 07:50:00,739251.9375,67494.61719
2023-06-25 07:55:00,739251.9375,67494.61719
2023-06-25 08:00:00,1021974.5,84714.19531
2023-06-25 08:05:00,1021974.5,84714.19531
2023-06-25 08:10:00,569523.75,82487.42969
2023-06-25 08:15:00,569523.75,82487.42969
2023-06-25 08:20:00,168582.6406,50984.75781
2023-06-25 08:25:00,168582.6406,50984.75781
2023-06-25 08:30:00,451479.3125,71051.25
2023-06-25 08:35:00,451479.3125,71051.25
2023-06-25 08:40:00,759968.6875,221602.6719
2023-06-25 08:45:00,759968.6875,221602.6719
2023-06-25 08:50:00,245416.4063,66796.82813
2023-06-25 08:55:00,245416.4063,66796.82813
2023-06-25 09:00:00,8238330.5,510183.25
2023-06-25 09:05:00,8238330.5,510183.25
2023-06-25 09:10:00,31885332.0,1450714.375
2023-06-25 09:15:00,31885332.0,1450714.375
2023-06-25 09:20:00,313949472.0,36116052.0
2023-06-25 09:25:00,313949472.0,36116052.0
2023-06-25 09:30:00,339726240.0,82834256.0
2023-06-25 09:35:00,339726240.0,82834256.0
2023-06-25 09:40:00,339690112.0,96267232.0
2023-06-25 09:45:00,339690112.0,96267232.0
2023-06-25 09:50:00,339691680.0,83504048.0
2023-06-25 09:55:00,339691680.0,83504048.0
2023-06-25 10:00:00,339698464.0,80187656.0
2023-06-25 10:05:00,339698464.0,80187656.0
2023-06-25 10:10:00,339661152.0,68608480.0
2023-06-25 10:15:00,339661152.0,68608480.0
2023-06-25 10:20:00,334590592.0,69388072.0
2023-06-25 10:25:00,334590592.0,69388072.0
2023-06-25 10:30:00,339666176.0,83104544.0
2023-06-25 10:35:00,339666176.0,83104544.0
2023-06-25 10:40:00,339669472.0,80556344.0
2023-06-25 10:45:00,339669472.0,80556344.0
2023-06-25 10:50:00,332700576.0,61967104.0
2023-06-25 10:55:00,332700576.0,61967104.0
2023-06-25 11:00:00,339662752.0,70524200.0
2023-06-25 11:05:00,339662752.0,70524200.0
2023-06-25 11:10:00,339629248.0,80381112.0
2023-06-25 11:15:00,339629248.0,80381112.0
2023-06-25 11:20:00,339419936.0,90712960.0
2023-06-25 11:25:00,339419936.0,90712960.0
2023-06-25 11:30:00,339515776.0,86624792.0
2023-06-25 11:35:00,339515776.0,86624792.0
2023-06-25 11:40:00,339475168.0,69744520.0
2023-06-25 11:45:00,339475168.0,69744520.0
2023-06-25 11:50:00,330285536.0,87842744.0
2023-06-25 11:55:00,330285536.0,87842744.0
2023-06-25 12:00:00,338558432.0,91058288.0
2023-06-25 12:05:00,338558432.0,91058288.0
2023-06-25 12:10:00,338955296.0,60316124.0
2023-06-25 12:15:00,338955296.0,60316124.0
2023-06-25 12:20:00,337223072.0,63994704.0
2023-06-25 12:25:00,337223072.0,63994704.0
2023-06-25 12:30:00,336978816.0,61956064.0
2023-06-25 12:35:00,336978816.0,61956064.0
2023-06-25 12:40:00,339438368.0,33552376.0
2023-06-25 12:45:00,339438368.0,33552376.0
2023-06-25 12:50:00,339051008.0,32534894.0
2023-06-25 12:55:00,339051008.0,32534894.0
2023-06-25 13:00:00,339186912.0,34096364.0
2023-06-25 13:05:00,339186912.0,34096364.0
2023-06-25 13:10:00,330765632.0,32060890.0
2023-06-25 13:15:00,330765632.0,32060890.0
2023-06-25 13:20:00,338699328.0,32877348.0
2023-06-25 13:25:00,338699328.0,32877348.0
2023-06-25 13:30:00,338044704.0,31410356.0
2023-06-25 13:35:00,338044704.0,31410356.0
2023-06-25 13:40:00,330139648.0,32124164.0
2023-06-25 13:45:00,330139648.0,32124164.0
2023-06-25 13:50:00,338119008.0,30682286.0
2023-06-25 13:55:00,338119008.0,30682286.0
2023-06-25 14:00:00,335205632.0,28954910.0
2023-06-25 14:05:00,335205632.0,28954910.0
2023-06-25 14:10:00,335432608.0,28789990.0
2023-06-25 14:15:00,335432608.0,28789990.0
2023-06-25 14:20:00,332965184.0,28477964.0
2023-06-25 14:25:00,332965184.0,28477964.0
2023-06-25 14:30:00,333402496.0,29965868.0
2023-06-25 14:35:00,333402496.0,29965868.0
2023-06-25 14:40:00,336070240.0,29077174.0
2023-06-25 14:45:00,336070240.0,29077174.0
2023-06-25 14:50:00,337023776.0,33244934.0
2023-06-25 14:55:00,337023776.0,33244934.0
2023-06-25 15:00:00,337782080.0,35390060.0
2023-06-25 15:05:00,337782080.0,35390060.0
2023-06-25 15:10:00,288343936.0,32288450.0
2023-06-25 15:15:00,288343936.0,32288450.0
2023-06-25 15:20:00,117625080.0,12874467.0
2023-06-25 15:25:00,117625080.0,12874467.0
2023-06-25 15:30:00,59932236.0,32590714.0
2023-06-25 15:35:00,59932236.0,32590714.0
2023-06-25 15:40:00,92050200.0,16965486.0
2023-06-25 15:45:00,92050200.0,16965486.0
2023-06-25 15:50:00,94788864.0,6112956.5
2023-06-25 15:55:00,94788864.0,6112956.5
2023-06-25 16:00:00,92626872.0,13987791.0
2023-06-25 16:05:00,92626872.0,13987791.0
2023-06-25 16:10:00,82158088.0,59019028.0
2023-06-25 16:15:00,82158088.0,59019028.0
2023-06-25 16:20:00,61900860.0,77191368.0
